,location,size,total_sqft,bath,price,bhk,price_per_sqft
1, Devarachikkanahalli,2 BHK,1250.0,2.0,40.0,2,3200.0
2, Devarachikkanahalli,2 Bedroom,1200.0,2.0,83.0,2,6916.666666666667
3, Devarachikkanahalli,2 BHK,1170.0,2.0,40.0,2,3418.803418803419
4, Devarachikkanahalli,3 BHK,1425.0,2.0,65.0,3,4561.403508771929
5, Devarachikkanahalli,2 BHK,947.0,2.0,43.0,2,4540.654699049631
6, Devarachikkanahalli,2 BHK,1130.0,2.0,36.0,2,3185.8407079646017
7, Devarachikkanahalli,3 BHK,1417.0,2.0,76.0,3,5363.443895553987
8, Devarachikkanahalli,2 BHK,1230.0,2.0,58.0,2,4715.447154471544
9, Devarachikkanahalli,3 BHK,1705.0,3.0,75.0,3,4398.826979472141
10, Devarachikkanahalli,2 BHK,1116.0,2.0,47.0,2,4211.469534050179
11, Devarachikkanahalli,2 BHK,991.0,2.0,40.0,2,4036.326942482341
13,1st Block Jayanagar,4 BHK,2850.0,4.0,428.0,4,15017.543859649122
14,1st Block Jayanagar,3 BHK,1630.0,3.0,194.0,3,11901.840490797545
15,1st Block Jayanagar,3 BHK,1875.0,2.0,235.0,3,12533.333333333334
16,1st Block Jayanagar,3 BHK,1200.0,2.0,130.0,3,10833.333333333334
17,1st Block Jayanagar,2 BHK,1235.0,2.0,148.0,2,11983.805668016194
18,1st Block Jayanagar,4 BHK,2750.0,4.0,413.0,4,15018.181818181818
19,1st Block Jayanagar,4 BHK,2450.0,4.0,368.0,4,15020.408163265307
21,1st Phase JP Nagar,3 BHK,1875.0,3.0,167.0,3,8906.666666666666
22,1st Phase JP Nagar,5 Bedroom,1500.0,5.0,85.0,5,5666.666666666667
23,1st Phase JP Nagar,3 BHK,2065.0,4.0,210.0,3,10169.49152542373
25,1st Phase JP Nagar,3 BHK,2059.0,3.0,225.0,3,10927.634774162214
26,1st Phase JP Nagar,2 BHK,1394.0,2.0,100.0,2,7173.601147776184
27,1st Phase JP Nagar,2 BHK,1077.0,2.0,93.0,2,8635.097493036212
28,1st Phase JP Nagar,2 Bedroom,1566.0,2.0,180.0,2,11494.252873563219
29,1st Phase JP Nagar,1 BHK,840.0,2.0,50.0,1,5952.380952380952
30,1st Phase JP Nagar,3 BHK,1590.0,3.0,131.0,3,8238.993710691824
31,1st Phase JP Nagar,3 BHK,2180.0,3.0,210.0,3,9633.02752293578
32,1st Phase JP Nagar,2 BHK,1180.0,2.0,88.5,2,7500.0
33,1st Phase JP Nagar,2 BHK,1200.0,2.0,86.0,2,7166.666666666667
34,1st Phase JP Nagar,2 BHK,1394.0,2.0,85.0,2,6097.5609756097565
35,1st Phase JP Nagar,3 BHK,2077.0,3.0,175.0,3,8425.613866153106
37,1st Phase JP Nagar,2 BHK,1205.0,2.0,85.0,2,7053.941908713693
39,1st Phase JP Nagar,2 BHK,900.0,2.0,75.0,2,8333.333333333334
40,2nd Phase Judicial Layout,3 BHK,1450.0,2.0,50.75,3,3500.0
41,2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2,3500.0
42,2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
43,2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
44,2nd Phase Judicial Layout,2 BHK,900.0,2.0,41.0,2,4555.555555555556
45,2nd Phase Judicial Layout,3 BHK,1681.0,3.0,69.0,3,4104.699583581201
46,2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
47,2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2,3500.0
48,2nd Stage Nagarbhavi,4 Bedroom,1500.0,4.0,220.0,4,14666.666666666666
51,2nd Stage Nagarbhavi,4 Bedroom,1350.0,4.0,200.0,4,14814.814814814816
52,2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,225.0,4,18750.0
53,2nd Stage Nagarbhavi,4 Bedroom,1500.0,3.0,230.0,4,15333.333333333334
54,5th Block Hbr Layout,2 BHK,1206.0,2.0,56.0,2,4643.449419568822
55,5th Block Hbr Layout,3 BHK,1270.0,2.0,70.0,3,5511.811023622047
56,5th Block Hbr Layout,2 BHK,1312.0,2.0,69.0,2,5259.1463414634145
57,5th Block Hbr Layout,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
58,5th Block Hbr Layout,5 Bedroom,3600.0,5.0,130.0,5,3611.1111111111113
59,5th Block Hbr Layout,6 BHK,5100.0,5.0,300.0,6,5882.35294117647
60,5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
61,5th Phase JP Nagar,2 BHK,1150.0,3.0,52.5,2,4565.217391304348
62,5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000.0
63,5th Phase JP Nagar,2 BHK,1207.0,2.0,63.0,2,5219.552609776305
64,5th Phase JP Nagar,3 BHK,1725.0,2.0,100.0,3,5797.101449275362
65,5th Phase JP Nagar,2 BHK,1440.0,2.0,60.0,2,4166.666666666667
66,5th Phase JP Nagar,3 BHK,1700.0,2.0,100.0,3,5882.35294117647
68,5th Phase JP Nagar,5 BHK,2500.0,5.0,110.0,5,4400.0
